title,rev_id,prediction
"Abbeville, Alabama",1171163550,C
"Adamsville, Alabama",1177621427,C
"Addison, Alabama",1168359898,C
"Akron, Alabama",1165909508,GA
"Alabaster, Alabama",1179139816,C
"Albertville, Alabama",1179198677,C
"Alexander City, Alabama",1179140073,GA
"Aliceville, Alabama",1167792390,GA
"Allgood, Alabama",1165909718,C
"Altoona, Alabama",1165909823,C
"Andalusia, Alabama",1179141586,C
"Anderson, Lauderdale County, Alabama",662691565,Stub
"Anniston, Alabama",1176049382,C
"Arab, Alabama",1171375371,C
"Ardmore, Alabama",1176903479,GA
"Argo, Alabama",1177623964,C
"Ariton, Alabama",1166014478,C
"Arley, Alabama",1166014498,C
"Ashford, Alabama",1166014593,C
"Ashland, Alabama",1174331705,C
"Ashville, Alabama",1148844011,C
"Athens, Alabama",1175308807,C
"Atmore, Alabama",1167926420,C
"Attalla, Alabama",1165507856,C
"Auburn, Alabama",1179878794,C
"Autaugaville, Alabama",1166014815,C
"Avon, Alabama",1166014861,Start
"Babbie, Alabama",1168820544,Start
"Baileyton, Alabama",1166014939,C
"Bakerhill, Alabama",1166014954,Start
"Banks, Alabama",1166014997,C
"Bay Minette, Alabama",1177963600,C
"Bayou La Batre, Alabama",1177999052,C
"Bear Creek, Alabama",1166015184,GA
"Beatrice, Alabama",1166015214,C
"Beaverton, Alabama",1166015251,Start
"Belk, Alabama",1166015313,C
"Benton, Alabama",1166015434,C
"Berlin, Alabama",1166015476,Start
"Berry, Alabama",1166015515,C
"Bessemer, Alabama",1178999596,C
"Billingsley, Alabama",1166015695,Start
"Birmingham, Alabama",1179944837,B
"Black, Alabama",1166015772,Start
"Blountsville, Alabama",1105978061,GA
"Blue Springs, Alabama",1166015902,Start
"Boaz, Alabama",1177138566,GA
"Boligee, Alabama",1166015957,C
"Bon Air, Alabama",1166015981,C
"Brantley, Alabama",1165814013,C
"Brent, Alabama",1172245542,GA
"Brewton, Alabama",1162427481,GA
"Bridgeport, Alabama",1165537046,GA
"Brighton, Alabama",1177621572,C
"Brilliant, Alabama",1166016323,GA
"Brookside, Alabama",1170769013,C
"Brookwood, Alabama",1178216914,C
"Brundidge, Alabama",1165537457,C
"Butler, Alabama",1144752979,C
"Calera, Alabama",1165537934,C
"Camden, Alabama",1176316224,GA
"Camp Hill, Alabama",1166017104,C
"Carbon Hill, Alabama",1175376595,C
"Cardiff, Alabama",1166017260,Start
"Carolina, Alabama",1166017310,Start
"Carrollton, Alabama",1096812581,C
"Castleberry, Alabama",1166017442,Start
"Cedar Bluff, Alabama",1177836881,C
"Center Point, Alabama",1174837569,C
"Centre, Alabama",1164314017,C
"Centreville, Alabama",1172134285,C
"Chatom, Alabama",1159488446,C
"Chelsea, Alabama",1165539092,C
"Cherokee, Alabama",1166017755,C
"Chickasaw, Alabama",1165539195,C
"Childersburg, Alabama",1165539227,GA
"Citronelle, Alabama",1165539457,C
"Clanton, Alabama",1158612343,GA
"Clay, Alabama",1177621993,C
"Clayhatchee, Alabama",1166018079,Start
"Clayton, Alabama",1155236230,C
"Cleveland, Alabama",1168466910,C
"Clio, Alabama",1165644511,Start
"Coaling, Alabama",1166018304,C
"Coffee Springs, Alabama",1166018326,Start
"Coffeeville, Alabama",1166029689,C
"Coker, Alabama",1166018360,Start
"Collinsville, Alabama",1177947751,C
"Colony, Alabama",1166018463,GA
"Columbia, Alabama",1166018475,C
"Columbiana, Alabama",1151357569,C
"Coosada, Alabama",1172561590,C
"Cordova, Alabama",1165645181,GA
"Cottonwood, Alabama",1096812941,C
"County Line, Alabama",1166018950,Start
"Courtland, Alabama",1157580326,GA
"Cowarts, Alabama",1166019003,C
"Creola, Alabama",1139764613,GA
"Crossville, Alabama",1166066155,C
"Cuba, Alabama",1175879685,C
"Cullman, Alabama",1180017307,B
"Cusseta, Alabama",1172824345,Start
"Dadeville, Alabama",1158607851,C
"Daleville, Alabama",1154496305,GA
"Daphne, Alabama",1165646156,FA
"Dauphin Island, Alabama",1174226588,B
"Daviston, Alabama",1166066473,C
"Dayton, Alabama",1166066487,C
"Deatsville, Alabama",1166066515,C
"Decatur, Alabama",1178063438,C
"Demopolis, Alabama",1161394946,B
"Detroit, Alabama",1166066756,Start
"Dodge City, Alabama",1166066982,Start
"Dora, Alabama",1165647022,C
"Dothan, Alabama",1179231968,B
"Double Springs, Alabama",1159024876,C
"Douglas, Alabama",1166067023,GA
"Dozier, Alabama",1096813187,Start
"Dutton, Alabama",1166067175,C
"East Brewton, Alabama",1165647609,C
"Eclectic, Alabama",1145048302,C
"Edwardsville, Alabama",1166067508,C
"Elba, Alabama",1163400900,C
"Elberta, Alabama",1175895043,C
"Eldridge, Alabama",1178177223,Start
"Elkmont, Alabama",1176555126,C
"Elmore, Alabama",1166067658,C
"Emelle, Alabama",1158753175,C
"Enterprise, Alabama",1160273773,C
"Epes, Alabama",1166067751,C
"Ethelsville, Alabama",1166067848,Start
"Eufaula, Alabama",1160493671,GA
"Eutaw, Alabama",1158611853,C
"Eva, Alabama",1166067877,GA
"Evergreen, Conecuh County, Alabama",1158611789,C
"Excel, Alabama",1166067942,C
"Fairfield, Alabama",1177239572,C
"Fairhope, Alabama",1173963070,C
"Fairview, Alabama",1166068021,C
"Falkville, Alabama",1166068054,GA
"Faunsdale, Alabama",1167428050,GA
"Fayette, Alabama",1142947111,C
"Five Points, Alabama",1166068289,C
"Flomaton, Alabama",1166244039,C
"Florala, Alabama",1166068321,C
"Florence, Alabama",1178304592,C
"Foley, Alabama",1166414056,C
"Forkland, Alabama",1166068466,C
"Fort Deposit, Alabama",1177020476,C
"Fort Payne, Alabama",1172551841,GA
"Franklin, Alabama",1166068620,GA
"Frisco City, Alabama",1166068863,C
"Fruithurst, Alabama",1166068877,Start
"Fulton, Alabama",1166068885,Start
"Fultondale, Alabama",1165840932,C
"Fyffe, Alabama",1160192215,C
"Gadsden, Alabama",1177146243,C
"Gainesville, Alabama",1166068936,C
"Gantt, Alabama",1180408898,Start
"Garden City, Alabama",1166068968,C
"Gardendale, Alabama",1175530987,C
"Gaylesville, Alabama",1166069113,C
"Geiger, Alabama",1166069121,Start
"Geneva, Alabama",1179698088,C
"Georgiana, Alabama",1178540000,Start
"Geraldine, Alabama",1166069211,C
"Gilbertown, Alabama",1166069407,C
"Glen Allen, Alabama",1166069457,C
"Glencoe, Alabama",1165748058,C
"Glenwood, Alabama",1096814086,Start
"Goldville, Alabama",1177535939,Start
"Good Hope, Alabama",1165748200,C
"Goodwater, Alabama",1166069571,C
"Gordo, Alabama",1176908359,C
"Gordon, Alabama",1166069580,C
"Gordonville, Alabama",1166069594,C
"Goshen, Alabama",1166069601,C
"Grant, Alabama",1166069728,GA
"Graysville, Alabama",1177622200,C
"Greensboro, Alabama",1172134373,C
"Greenville, Alabama",1171417115,C
"Grimes, Alabama",1166180119,Start
"Grove Hill, Alabama",1144754911,C
"Guin, Alabama",1173001379,C
"Gulf Shores, Alabama",1174473447,C
"Guntersville, Alabama",1169878221,C
"Gurley, Alabama",1173078483,C
"Gu-Win, Alabama",1175521277,C
"Hackleburg, Alabama",1167581471,GA
"Haleburg, Alabama",1166180281,C
"Haleyville, Alabama",1168590141,GA
"Hamilton, Alabama",1180681354,C
"Hammondville, Alabama",1166180369,C
"Hanceville, Alabama",1169612470,C
"Harpersville, Alabama",1177953234,C
"Hartford, Alabama",1165749307,C
"Hartselle, Alabama",1165749341,C
"Hayden, Alabama",1166180747,C
"Hayneville, Alabama",1166180764,C
"Headland, Alabama",1168369252,C
"Heath, Alabama",1166180800,Start
"Heflin, Alabama",1176321971,C
"Helena, Alabama",1177702091,C
"Henagar, Alabama",1165749718,C
"Highland Lake, Alabama",1166180993,Start
"Hillsboro, Alabama",1166181055,C
"Hobson City, Alabama",1166181157,C
"Hodges, Alabama",1166181162,C
"Hokes Bluff, Alabama",1165750177,C
"Holly Pond, Alabama",1166181271,C
"Hollywood, Alabama",1166181286,C
"Homewood, Alabama",1177622299,GA
"Hoover, Alabama",1180348406,C
"Horn Hill, Alabama",1166181398,Start
"Hueytown, Alabama",1177622536,C
"Huntsville, Alabama",1180130440,FA
"Hurtsboro, Alabama",1096814754,C
"Hytop, Alabama",1166181602,Start
"Ider, Alabama",1166181612,C
"Indian Springs Village, Alabama",1166181665,C
"Irondale, Alabama",1169440818,C
"Jackson, Alabama",1165750992,C
"Jackson's Gap, Alabama",1166181798,Start
"Jacksonville, Alabama",1175988040,C
"Jasper, Alabama",1174380579,C
"Jemison, Alabama",1165751151,C
"Kansas, Alabama",1166182143,Start
"Kellyton, Alabama",1166182186,Stub
"Kennedy, Alabama",1166182247,Start
"Killen, Alabama",1166182386,C
"Kimberly, Alabama",1177622633,C
"Kinsey, Alabama",1166182487,C
"Kinston, Alabama",1166182489,C
"LaFayette, Alabama",1165752571,C
"Lake View, Alabama",1170831381,C
"Lakeview, Alabama",1166205391,Start
"Lanett, Alabama",1165889187,C
"Langston, Alabama",1171521067,C
"Leeds, Alabama",1180591194,C
"Leesburg, Alabama",1166205728,C
"Leighton, Alabama",1148926606,C
"Lester, Alabama",1166205815,Start
"Level Plains, Alabama",1165890044,Start
"Lexington, Alabama",1166205880,Start
"Libertyville, Alabama",1166205930,Start
"Lincoln, Alabama",1165890317,C
"Linden, Alabama",1170891816,GA
"Lineville, Alabama",1165890459,GA
"Lipscomb, Alabama",1177622747,C
"Lisman, Alabama",1166206088,C
"Littleville, Alabama",1166206172,Start
"Livingston, Alabama",1165891122,C
"Loachapoka, Alabama",1166206211,C
